T_min,T_max,T_delta,Pow_mean,status,songtitle
24.058493589743588,26.5625,2.5040064102564124,18.99213743209839,drossel,neelix
24.30889423076923,26.81290064102564,2.504006410256409,19.23303050994873,drossel,neelix
24.30889423076923,26.81290064102564,2.504006410256409,19.135991287231445,drossel,neelix
24.30889423076923,26.81290064102564,2.504006410256409,19.350136375427248,drossel,neelix
24.30889423076923,26.81290064102564,2.504006410256409,19.54540100097656,drossel,neelix
24.30889423076923,26.81290064102564,2.504006410256409,19.81061897277832,drossel,neelix
24.30889423076923,26.81290064102564,2.504006410256409,20.013514900207518,drossel,neelix
24.559294871794872,27.06330128205128,2.504006410256409,20.329735660552977,drossel,neelix
24.559294871794872,27.06330128205128,2.504006410256409,20.407082939147948,drossel,neelix
24.559294871794872,27.06330128205128,2.504006410256409,20.425040245056152,drossel,neelix
24.559294871794872,27.06330128205128,2.504006410256409,20.434148216247557,drossel,neelix
24.80969551282051,27.06330128205128,2.25360576923077,20.56292552947998,drossel,neelix
24.80969551282051,27.06330128205128,2.25360576923077,20.75847473144531,drossel,neelix
24.80969551282051,27.06330128205128,2.25360576923077,20.971467208862304,drossel,neelix
24.80969551282051,27.313701923076923,2.5040064102564124,21.31842918395996,drossel,neelix
24.80969551282051,27.313701923076923,2.5040064102564124,21.951002979278563,drossel,neelix
24.80969551282051,27.313701923076923,2.5040064102564124,22.564271640777587,drossel,neelix
24.80969551282051,27.313701923076923,2.5040064102564124,23.260874366760255,drossel,neelix
25.06009615384616,27.313701923076923,2.253605769230763,23.77041883468628,drossel,neelix
25.06009615384616,27.313701923076923,2.253605769230763,24.32392282485962,drossel,neelix
25.06009615384616,27.313701923076923,2.253605769230763,24.895334434509277,drossel,neelix
25.310496794871792,27.56410256410256,2.2536057692307665,25.64675941467285,drossel,neelix
25.310496794871792,27.56410256410256,2.2536057692307665,26.15354700088501,drossel,neelix
25.310496794871792,27.56410256410256,2.2536057692307665,26.651218509674074,drossel,neelix
25.310496794871792,27.56410256410256,2.2536057692307665,27.217765045166015,drossel,neelix
25.310496794871792,27.56410256410256,2.2536057692307665,27.793617725372314,drossel,neelix
25.560897435897434,27.814503205128204,2.25360576923077,28.338655948638916,drossel,neelix
25.560897435897434,27.814503205128204,2.25360576923077,28.859084606170654,drossel,neelix
25.560897435897434,27.814503205128204,2.25360576923077,29.14714698791504,drossel,neelix
25.560897435897434,27.814503205128204,2.25360576923077,29.696016597747803,drossel,neelix
25.560897435897434,27.814503205128204,2.25360576923077,30.329767894744872,drossel,neelix
25.560897435897434,27.814503205128204,2.25360576923077,30.89140977859497,drossel,neelix
25.81129807692308,28.064903846153847,2.2536057692307665,31.21039628982544,drossel,neelix
